repo_id,onnx_file,repo_mb,downloaded_mb,n_syntactic,n_admitted,epsilon,verdict,verify_sec,status
BAAI/bge-base-en,onnx/model.onnx,1252.9,415.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,58.9,ok
jinaai/jina-embeddings-v2-base-zh,onnx/model.onnx,1688.2,1688.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,171.8,ok
onnx-community/Kokoro-82M-v1.0-ONNX,onnx/model.onnx,1380.3,1380.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,174.1,ok
minishlab/potion-multilingual-128M,onnx/model.onnx,1001.1,1001.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,131.4,ok
ibm-granite/granite-embedding-30m-english,model.onnx,233.8,233.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,38.7,ok
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,onnx/model.onnx,845.0,845.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,105.9,ok
Organika/sdxl-detector,onnx/model.onnx,1662.3,1662.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,166.3,ok
lightonai/GTE-ModernColBERT-v1,model.onnx,1285.0,1285.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,134.1,ok
SamLowe/roberta-base-go_emotions-onnx,onnx/model.onnx,601.8,601.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,79.9,ok
csarron/mobilebert-uncased-squad-v2,model.onnx,282.6,282.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,37.0,ok
Qdrant/Splade_PP_en_v1,model.onnx,508.3,508.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,58.4,ok
optimum-intel-internal-testing/tiny-random-vit,onnx/model.onnx,0.9,0.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,9.6,ok
minishlab/potion-base-32M,onnx/model.onnx,248.4,248.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,36.5,ok
Qdrant/minicoil-v1,onnx/model.onnx,607.7,607.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,75.0,ok
Xenova/whisper-tiny.en,onnx/decoder_model.onnx,1780.1,1780.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,201.3,ok
madhurjindal/autonlp-Gibberish-Detector-492513457,onnx/model.onnx,768.0,768.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,88.4,ok
Xenova/distilbert-base-uncased-finetuned-sst-2-english,onnx/model.onnx,882.1,882.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,92.5,ok
Jean-Baptiste/camembert-ner,model.onnx,1260.7,1260.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,123.3,ok
MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,onnx/model.onnx,635.1,635.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,71.3,ok
prithivida/Splade_PP_en_v1,onnx/model.onnx,927.7,927.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,108.9,ok
michaelfeil/bge-small-en-v1.5,onnx/model.onnx,414.9,414.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,57.8,ok
rtr46/meiki.txt.recognition.v0,meiki.text.rec.v0.960x32.onnx,30.0,30.0,48,48,0.0,add-DGP-CLASS-NEGATIVE,15.3,ok
philschmid/distilbert-onnx,model.onnx,248.9,248.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,32.4,ok
SmilingWolf/wd-vit-tagger-v3,model.onnx,1083.1,1083.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,106.7,ok
LazarusNLP/all-indo-e5-small-v4,onnx/model.onnx,913.7,913.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,98.4,ok
ibm-granite/granite-embedding-125m-english,model.onnx,954.9,954.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,104.1,ok
KittenML/kitten-tts-mini-0.8,kitten_tts_mini_v0_8.onnx,77.8,77.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,12.7,ok
MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary,onnx/model.onnx,905.3,905.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,94.6,ok
mixedbread-ai/mxbai-embed-xsmall-v1,onnx/model.onnx,735.0,735.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,91.9,ok
optimum/t5-small,decoder_model.onnx,568.6,568.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,61.1,ok
MoritzLaurer/deberta-v3-base-zeroshot-v1.1-all-33,onnx/model.onnx,1651.6,1651.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,160.2,ok
p1atdev/wd-swinv2-tagger-v3-hf,model_quantized.onnx,288.4,288.4,,,,,43.9,"fail: ValueError: cannot reshape array of size 4096 into shape (128,128)"
Snowflake/snowflake-arctic-embed-s,onnx/model.onnx,531.5,531.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,67.6,ok
rtr46/meiki.text.detect.v0,meiki.text.detect.tiny.v0.onnx,77.1,77.1,49,49,0.0,add-DGP-CLASS-NEGATIVE,23.4,ok
1-800-BAD-CODE/punctuation_fullstop_truecase_english,punct_cap_seg_en.onnx,200.4,200.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,28.3,ok
Qdrant/bge-base-en-v1.5-onnx-Q,model_optimized.onnx,208.6,208.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,31.5,ok
chriamue/bird-species-classifier,model.onnx,64.8,64.8,92,92,0.0,add-DGP-CLASS-NEGATIVE,19.2,ok
Supabase/gte-small,onnx/model.onnx,287.6,287.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,42.5,ok
ibm-granite/granite-embedding-107m-multilingual,model.onnx,1360.9,1360.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,143.5,ok
ogkalu/comic-text-and-bubble-detector,detector.onnx,324.3,324.3,24,24,0.0,add-DGP-CLASS-NEGATIVE,38.8,ok
onnx-community/Kokoro-82M-ONNX,onnx/model.onnx,1357.6,1357.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,145.5,ok
Xenova/jina-embeddings-v2-small-en,onnx/model.onnx,457.6,457.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,78.4,ok
fxmarty/resnet-tiny-beans,model.onnx,1.5,1.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,37.1,ok
Xenova/whisper-tiny,onnx/decoder_model.onnx,1780.8,1780.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,203.1,ok
minishlab/M2V_base_output,onnx/model.onnx,123.4,123.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,24.8,ok
KittenML/kitten-tts-nano-0.1,kitten_tts_nano_v0_1.onnx,22.8,22.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,8.5,ok
Qdrant/bge-large-en-v1.5-onnx,model.onnx,1275.8,1275.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,124.7,ok
cross-encoder/ms-marco-TinyBERT-L2,onnx/model.onnx,165.1,165.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,40.1,ok
Xenova/mobilebert-uncased-mnli,onnx/model.onnx,296.9,296.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,43.2,ok
HuggingFaceTB/SmolLM-135M-Instruct,onnx/model.onnx,1870.3,1870.3,30,30,0.0,add-DGP-CLASS-NEGATIVE,197.2,ok
chopratejas/technique-router-onnx,model_quantized.onnx,33.3,33.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,14.6,ok
onnx-models/all-mpnet-base-v2-onnx,model.onnx,416.7,416.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,48.2,ok
Xenova/ms-marco-MiniLM-L-6-v2,onnx/model.onnx,330.7,330.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,46.1,ok
morsetechlab/yolov11-license-plate-detection,license-plate-finetune-v1l.onnx,656.4,656.4,159,159,0.0,add-DGP-CLASS-NEGATIVE,71.5,ok
Xenova/llama2.c-stories15M,onnx/model.onnx,1040.8,1040.8,6,6,0.0,add-DGP-CLASS-NEGATIVE,132.1,ok
docling-project/DocumentFigureClassifier-v2.0,model.onnx,31.6,31.6,65,65,5.083740949308784e+305,UNCERTIFIED,36.2,ok
optimum-intel-internal-testing/tiny-random-CodeGenForCausalLM,onnx/model.onnx,2.8,2.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,12.9,ok
jinaai/jina-reranker-v1-turbo-en,onnx/model.onnx,670.6,670.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,81.8,ok
cmarkea/distilcamembert-base-sentiment,model.onnx,1040.1,1040.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,101.2,ok
optimum-intel-internal-testing/tiny-random-Phi3ForCausalLM,onnx/model.onnx,40.2,40.2,2,2,1.2669843144635193e+303,UNCERTIFIED,22.9,ok
KittenML/kitten-tts-micro-0.8,kitten_tts_micro_v0_8.onnx,42.6,42.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,10.2,ok
optimum-intel-internal-testing/tiny-random-GPTNeoXForCausalLM,onnx/model.onnx,2.5,2.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,10.1,ok
mixedbread-ai/mxbai-edge-colbert-v0-32m,model.onnx,285.8,285.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,50.6,ok
MoritzLaurer/deberta-v3-base-zeroshot-v2.0,onnx/model.onnx,1077.4,1077.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,116.2,ok
prithivida/Splade_PP_en_v2,onnx/model.onnx,927.8,927.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,110.0,ok
optimum-intel-internal-testing/tiny-random-CohereForCausalLM,onnx/model.onnx,0.5,0.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,11.4,ok
GenTelLab/gentelshield-v1,model.onnx,1088.0,1088.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,116.7,ok
avsolatorio/GIST-all-MiniLM-L6-v2,onnx/model.onnx,282.4,282.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,48.6,ok
Xenova/jina-embeddings-v2-base-en,onnx/model.onnx,1592.1,1592.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,156.3,ok
segment-any-text/sat-3l,model.onnx,2025.3,2025.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,1419.6,ok
optimum-intel-internal-testing/bge-small-en-v1.5,onnx/model.onnx,382.5,382.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,53.1,ok
Isotonic/distilbert_finetuned_ai4privacy_v2,onnx/model.onnx,509.0,509.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,74.4,ok
fxmarty/sshleifer-tiny-mbart-onnx,decoder_model.onnx,11.6,11.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,8.3,ok
line-corporation/clip-japanese-base,onnx/clyp_visual.onnx,1505.2,1505.2,12,12,0.0,add-DGP-CLASS-NEGATIVE,165.9,ok
optimum-intel-internal-testing/tiny-random-ArceeForCausalLM,onnx/model.onnx,35.8,35.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,18.8,ok
onnx-community/whisper-tiny,onnx/decoder_model.onnx,1350.3,1350.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,151.0,ok
SmilingWolf/wd-v1-4-convnext-tagger-v2,model.onnx,746.0,746.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,73.9,ok
optimum-intel-internal-testing/tiny-random-DebertaV2Model,onnx/model.onnx,58.4,58.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,17.4,ok
Xenova/gte-small,onnx/model.onnx,438.8,438.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,54.3,ok
optimum-intel-internal-testing/tiny-random-MptForCausalLM,onnx/model.onnx,0.9,0.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,12.0,ok
Xenova/all-mpnet-base-v2,onnx/model.onnx,1309.7,1309.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,133.2,ok
optimum-intel-internal-testing/tiny-random-MobileBertModel,onnx/model.onnx,8.5,8.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,13.3,ok
MongoDB/mdbr-leaf-mt,onnx/model.onnx,323.2,323.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,60.6,ok
Xenova/wav2vec2-base-960h,onnx/model.onnx,1043.1,1043.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,112.5,ok
minishlab/potion-base-2M,onnx/model.onnx,15.3,15.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,15.9,ok
Xenova/mms-tts-eng,onnx/model.onnx,201.0,201.0,38,38,0.0,add-DGP-CLASS-NEGATIVE,37.0,ok
optimum-intel-internal-testing/tiny-random-VisionEncoderDecoderModel-vit-gpt2,onnx/decoder_model.onnx,7.8,7.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,18.9,ok
Qdrant/bge-small-zh-v1.5,model_optimized.onnx,90.9,90.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,20.2,ok
docling-project/DocumentFigureClassifier-v2.5,model.onnx,32.0,32.0,65,65,2.0454949655846553e+306,UNCERTIFIED,37.1,ok
optimum-intel-internal-testing/tiny-random-unispeech,onnx/model.onnx,0.4,0.4,0,0,0.0,add-DGP-CLASS-NEGATIVE,11.6,ok
Xenova/slimsam-77-uniform,onnx/vision_encoder.onnx,70.9,70.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,16.6,ok
gravitee-io/bert-small-pii-detection,model.onnx,246.1,246.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,35.0,ok
skt/kobert-base-v1,legacy/kobert.onnx1.8.0.onnx,1761.3,1761.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,174.4,ok
Snowflake/snowflake-arctic-embed-m-long,onnx/model.onnx,2010.9,2010.9,12,12,0.0,add-DGP-CLASS-NEGATIVE,209.9,ok
Isotonic/deberta-v3-base_finetuned_ai4privacy_v2,onnx/model.onnx,1425.3,1425.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,154.9,ok
Xenova/clip-vit-base-patch16,onnx/model.onnx,2008.7,2008.7,24,24,0.0,add-DGP-CLASS-NEGATIVE,207.7,ok
mixedbread-ai/mxbai-edge-colbert-v0-17m,model.onnx,149.5,149.5,0,0,0.0,add-DGP-CLASS-NEGATIVE,36.6,ok
Qdrant/bge-small-en,model_optimized.onnx,127.6,127.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,25.2,ok
trpakov/vit-face-expression,onnx/model.onnx,982.3,982.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,98.5,ok
cointegrated/rubert-base-cased-nli-threeway,onnx/model.onnx,2044.8,2044.8,0,0,0.0,add-DGP-CLASS-NEGATIVE,202.2,ok
optimum/all-MiniLM-L6-v2,model.onnx,87.6,87.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,19.6,ok
Xenova/nomic-embed-text-v1,onnx/model.onnx,916.7,916.7,12,12,0.0,add-DGP-CLASS-NEGATIVE,100.6,ok
KittenML/kitten-tts-nano-0.8-fp32,kitten_tts_nano_v0_8.onnx,57.3,57.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,11.6,ok
protectai/unbiased-toxic-roberta-onnx,model.onnx,598.7,598.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,67.5,ok
gourishankar023/finbert-payment-freetext-ner-v1,model.onnx,416.6,416.6,0,0,0.0,add-DGP-CLASS-NEGATIVE,49.3,ok
optimum-intel-internal-testing/tiny-random-BeitForImageClassification,onnx/model.onnx,0.3,0.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,7.3,ok
Xenova/toxic-bert,onnx/model.onnx,1320.7,1320.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,134.5,ok
Falconsai/text_summarization,onnx/decoder_model.onnx,1551.3,1551.3,0,0,0.0,add-DGP-CLASS-NEGATIVE,171.6,ok
jjzha/jobbert-base-cased,onnx/model.onnx,1326.2,1326.2,0,0,0.0,add-DGP-CLASS-NEGATIVE,136.9,ok
Xenova/dinov2-small,onnx/model.onnx,211.1,211.1,0,0,0.0,add-DGP-CLASS-NEGATIVE,37.5,ok
philomath-1209/programming-language-identification,onnx/model.onnx,643.7,643.7,0,0,0.0,add-DGP-CLASS-NEGATIVE,81.6,ok
mispeech/ced-base,model.onnx,409.9,409.9,0,0,0.0,add-DGP-CLASS-NEGATIVE,47.8,ok
llmware/protectai-prompt-injection-onnx,model.onnx,715.0,715.0,0,0,0.0,add-DGP-CLASS-NEGATIVE,77.8,ok
